Date,KRW,DXY,OIL,KOSPI,US10Y,SP500,VIX,KOR_RATE,US_CPI
2015-05-05,1078.75,95.12999725341797,60.400001525878906,,2.1760001182556152,2089.4599609375,14.3100004196167,0.75,237.001
2015-05-06,1079.5799560546875,94.12999725341797,60.93000030517578,2104.580078125,2.240000009536743,2080.14990234375,15.149999618530273,0.75,237.001
2015-05-07,1078.6700439453125,94.62000274658203,58.939998626708984,2091.0,2.184000015258789,2088.0,15.130000114440918,0.75,237.001
2015-05-08,1091.8900146484375,94.79000091552734,59.38999938964844,2085.52001953125,2.1500000953674316,2116.10009765625,12.859999656677246,0.75,237.001
2015-05-11,1085.800048828125,95.01000213623047,59.25,2097.3798828125,2.2739999294281006,2105.330078125,13.850000381469727,0.75,237.001
2015-05-12,1095.949951171875,94.52999877929688,60.75,2096.77001953125,2.259999990463257,2099.1201171875,13.859999656677246,0.75,237.001
2015-05-13,1092.3800048828125,93.62000274658203,60.5,2114.159912109375,2.2820000648498535,2098.47998046875,13.760000228881836,0.75,237.001
2015-05-14,1091.4000244140625,93.36000061035156,59.880001068115234,2120.330078125,2.239000082015991,2121.10009765625,12.739999771118164,0.75,237.001
2015-05-15,1088.239990234375,93.13999938964844,59.689998626708984,2106.5,2.1410000324249268,2122.72998046875,12.380000114440918,0.75,237.001
2015-05-18,1081.8399658203125,94.19000244140625,59.43000030517578,2113.719970703125,2.2279999256134033,2129.199951171875,12.729999542236328,0.75,237.001
2015-05-19,1088.239990234375,95.2699966430664,57.2599983215332,2120.85009765625,2.26200008392334,2127.830078125,12.850000381469727,0.75,237.001
2015-05-20,1093.5,95.44999694824219,58.97999954223633,2139.5400390625,2.250999927520752,2125.85009765625,12.880000114440918,0.75,237.001
2015-05-21,1095.4100341796875,95.26000213623047,60.720001220703125,2122.81005859375,2.184999942779541,2130.820068359375,12.109999656677246,0.75,237.001
2015-05-22,1091.47998046875,96.01000213623047,59.720001220703125,2146.10009765625,2.2149999141693115,2126.06005859375,12.130000114440918,0.75,237.001
2015-05-25,1094.75,,,,,,,0.75,237.001
2015-05-26,1095.75,97.30000305175781,58.029998779296875,2143.5,2.13700008392334,2104.199951171875,14.0600004196167,0.75,237.001
2015-05-27,1105.8699951171875,97.37000274658203,57.5099983215332,2107.5,2.134999990463257,2123.47998046875,13.270000457763672,0.75,237.001
2015-05-28,1107.4200439453125,96.97000122070312,57.68000030517578,2110.889892578125,2.130000114440918,2120.7900390625,13.3100004196167,0.75,237.001
2015-05-29,1107.0,96.91000366210938,60.29999923706055,2114.800048828125,2.0950000286102295,2107.389892578125,13.84000015258789,0.75,237.001
2015-06-01,1111.4200439453125,97.38999938964844,60.20000076293945,2102.3701171875,2.191999912261963,2111.72998046875,13.970000267028809,0.75,237.657
2015-06-02,1113.800048828125,95.83999633789062,61.2599983215332,2078.639892578125,2.2660000324249268,2109.60009765625,14.239999771118164,0.75,237.657
2015-06-03,1106.530029296875,95.47000122070312,59.63999938964844,2063.159912109375,2.365999937057495,2114.070068359375,13.65999984741211,0.75,237.657
2015-06-04,1105.68994140625,95.45999908447266,58.0,2072.860107421875,2.306999921798706,2095.840087890625,14.710000038146973,0.75,237.657
2015-06-05,1111.699951171875,96.30999755859375,59.130001068115234,2068.10009765625,2.4019999504089355,2092.830078125,14.210000038146973,0.75,237.657
